target,candidate,horizon,window,n_forecasts,rmse_ratio,direction_accuracy,clark_west_one_sided_p,clark_west_fdr_q
cpi_L7GR_12m_pct,jp_epi_electronics_yen_12m_pct,3,expanding_ar1,61,1.0063200247428723,0.6721311475409836,0.2264864614637435,0.4271871198400645
cpi_L7GR_12m_pct,kr_epi_tech_12m_pct,1,expanding_ar1,24,1.0102834896543431,0.6666666666666666,0.2474445419507051,0.4948890839014102
cpi_L7GR_12m_pct,kr_epi_tech_12m_pct,2,expanding_ar1,23,1.016336573165586,0.5217391304347826,0.3307695354150985,0.5352296593320129
cpi_L7GR_12m_pct,kr_epi_tech_12m_pct,3,expanding_ar1,21,1.0242428744676475,0.7142857142857143,0.3203903398800484,0.4271871198400645
cpi_L7GR_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,1,expanding_ar1,65,1.0085328374217928,0.7076923076923077,0.2318692911763066,0.4948890839014102
cpi_L7GR_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,2,expanding_ar1,63,1.0305859232641257,0.6984126984126984,0.3112802665834666,0.5352296593320129
cpi_L7GR_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,3,expanding_ar1,61,1.0410577972532302,0.6229508196721312,0.6728979453245276,0.6728979453245276
cpi_L7GR_12m_pct,hk_ppi_tech_12m_pct,1,expanding_ar1,65,1.0117350808226744,0.6461538461538462,0.5592944811016818,0.5592944811016818
cpi_L7GR_12m_pct,hk_ppi_tech_12m_pct,2,expanding_ar1,63,1.0052376366802096,0.6190476190476191,0.5352296593320129,0.5352296593320129
cpi_L7GR_12m_pct,hk_ppi_tech_12m_pct,3,expanding_ar1,61,0.994262890019971,0.6065573770491803,0.261840432147849,0.4271871198400645
cpi_D7EO_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar1,77,0.9988064741170296,0.5844155844155844,0.2019154670036733,0.4038309340073467
cpi_D7EO_12m_pct,jp_epi_electronics_yen_12m_pct,2,expanding_ar1,75,1.0031568119453134,0.6133333333333333,0.0205552686448259,0.0411105372896518
cpi_D7EO_12m_pct,jp_epi_electronics_yen_12m_pct,3,expanding_ar1,73,1.0381684529122526,0.589041095890411,0.0490813722106422,0.0981627444212845
cpi_D7EO_12m_pct,kr_epi_tech_12m_pct,1,expanding_ar1,24,1.0211506556666767,0.75,0.7792846723501229,0.7792846723501229
cpi_D7EO_12m_pct,kr_epi_tech_12m_pct,2,expanding_ar1,23,1.0160722500149948,0.6086956521739131,0.8881302828613908,0.8881302828613908
cpi_D7EO_12m_pct,kr_epi_tech_12m_pct,3,expanding_ar1,21,1.0108280008405857,0.5714285714285714,0.5613079098477128,0.5613079098477128
cpi_D7EO_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,1,expanding_ar1,77,1.0025373124856567,0.5584415584415584,0.6015530508379866,0.7792846723501229
cpi_D7EO_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,2,expanding_ar1,75,1.011283581631736,0.5733333333333334,0.3958330551219342,0.5277774068292457
cpi_D7EO_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,3,expanding_ar1,73,1.0533450480253563,0.5342465753424658,0.4534879356771719,0.5613079098477128
cpi_D7EO_12m_pct,hk_ppi_tech_12m_pct,1,expanding_ar1,77,0.987751845184612,0.5714285714285714,0.0580137282652641,0.2320549130610564
cpi_D7EO_12m_pct,hk_ppi_tech_12m_pct,2,expanding_ar1,75,0.9754022594883096,0.64,0.0172947836427623,0.0411105372896518
cpi_D7EO_12m_pct,hk_ppi_tech_12m_pct,3,expanding_ar1,73,0.9786895477891596,0.6164383561643836,0.0343710120551434,0.0981627444212845
cpi_L7GT_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar1,65,1.0235138850624577,0.4923076923076923,0.7080993542570265,0.93536363398868
cpi_L7GT_12m_pct,jp_epi_electronics_yen_12m_pct,2,expanding_ar1,63,1.026909318179985,0.6190476190476191,0.450756992676467,0.6010093235686228
cpi_L7GT_12m_pct,jp_epi_electronics_yen_12m_pct,3,expanding_ar1,61,1.059619119684815,0.5737704918032787,0.734577165707667,0.9394346010197008
cpi_L7GT_12m_pct,kr_epi_tech_12m_pct,1,expanding_ar1,24,1.063072215267455,0.5416666666666666,0.93536363398868,0.93536363398868
cpi_L7GT_12m_pct,kr_epi_tech_12m_pct,2,expanding_ar1,23,1.0488766580920172,0.782608695652174,0.8529217841405838,0.8529217841405838
cpi_L7GT_12m_pct,kr_epi_tech_12m_pct,3,expanding_ar1,21,1.0439630465716938,0.7142857142857143,0.9394346010197008,0.9394346010197008
