target,candidate,horizon,window,n_forecasts,rmse_ratio,direction_accuracy,clark_west_one_sided_p,clark_west_fdr_q
ex_games_12m_pct,uk_ipi_c262_12m_pct,9,expanding_ar1,49,1.5419014526404953,0.7755102040816326,0.1188530130842815,0.2088281400711365
ex_games_12m_pct,uk_ipi_c262_12m_pct,10,expanding_ar1,47,1.6115608553328982,0.8085106382978723,0.1473594289234131,0.2979226496641725
ex_games_12m_pct,uk_ipi_c262_12m_pct,11,expanding_ar1,45,1.8094422826278092,0.7555555555555555,0.1706602476086604,0.4227220301327751
ex_games_12m_pct,uk_ipi_c262_12m_pct,12,expanding_ar1,43,1.585571077572593,0.7441860465116279,0.3242496634962049,0.7808681342732863
ex_games_12m_pct,uk_ipi_c262_noneu_12m_pct,1,expanding_ar1,57,1.0078363683276397,0.6666666666666666,0.1225007539928973,0.2625796603000857
ex_games_12m_pct,uk_ipi_c262_noneu_12m_pct,2,expanding_ar1,56,1.0722911035438525,0.7142857142857143,0.0453663782897347,0.1296709092295092
ex_games_12m_pct,uk_ipi_c262_noneu_12m_pct,3,expanding_ar1,55,1.1304539768950148,0.7454545454545455,0.0290756346762052,0.0644844460288251
ex_games_12m_pct,uk_ipi_c262_noneu_12m_pct,4,expanding_ar1,54,1.257322754535553,0.7592592592592593,0.0216998659600113,0.0433997319200226
ex_games_12m_pct,uk_ipi_c262_noneu_12m_pct,5,expanding_ar1,53,1.3230501663954175,0.6981132075471698,0.0188213966798448,0.0378704172028274
ex_games_12m_pct,uk_ipi_c262_noneu_12m_pct,6,expanding_ar1,52,1.572547868508604,0.6923076923076923,0.0362657698624076,0.0543986547936114
ex_games_12m_pct,uk_ipi_c262_noneu_12m_pct,7,expanding_ar1,51,1.951231999705089,0.6862745098039216,0.0624721078245352,0.0937081617368028
ex_games_12m_pct,uk_ipi_c262_noneu_12m_pct,8,expanding_ar1,50,2.2856006483160702,0.7,0.1040206183203697,0.1625599364166767
ex_games_12m_pct,uk_ipi_c262_noneu_12m_pct,9,expanding_ar1,49,2.1654111005325674,0.6530612244897959,0.1452032256979309,0.2088281400711365
ex_games_12m_pct,uk_ipi_c262_noneu_12m_pct,10,expanding_ar1,47,2.169018772512031,0.6808510638297872,0.2338454341526906,0.2979226496641725
ex_games_12m_pct,uk_ipi_c262_noneu_12m_pct,11,expanding_ar1,45,2.0994345984744074,0.7333333333333333,0.4163274966041349,0.4995929959249618
ex_games_12m_pct,uk_ipi_c262_noneu_12m_pct,12,expanding_ar1,43,1.7967154219336816,0.6744186046511628,0.942147182333234,0.942147182333234
cpi_L7GG_12m_pct,uk_ipi_c26_12m_pct,1,expanding_ar1,65,1.0136678899115803,0.6461538461538462,0.3249852939408051,0.9389092607727978
cpi_L7GG_12m_pct,uk_ipi_c26_12m_pct,2,expanding_ar1,63,1.0315154843132095,0.6666666666666666,0.4223518547363305,0.9856732469989808
cpi_L7GG_12m_pct,uk_ipi_c26_12m_pct,3,expanding_ar1,61,1.0525662060590633,0.6229508196721312,0.4413089994177532,0.9400762426524842
cpi_L7GG_12m_pct,uk_ipi_c26_12m_pct,4,expanding_ar1,59,1.0635143765904385,0.5932203389830508,0.3874396746381953,0.7748793492763907
cpi_L7GG_12m_pct,uk_ipi_c26_12m_pct,5,expanding_ar1,57,1.1232014669128996,0.6666666666666666,0.656626220295293,0.975780169436126
cpi_L7GG_12m_pct,uk_ipi_c26_12m_pct,6,expanding_ar1,55,1.310215436597206,0.6727272727272727,0.965944996549094,0.9824255346899478
