origin,scenario,scenario_label,target,target_label,target_group,horizon,baseline_forecast,scenario_forecast,incremental_annual_inflation_pp,approx_standard_error,approx_lower_90,approx_upper_90,model,model_n
2026-06-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,11,2.406516855797333,18.986884549254494,16.580367693457163,6.76949685443003,6.3193079309703055,28.443804278106324,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,12,2.182890355396259,21.005452089115344,18.822561733719084,7.816592879860394,7.052681633730679,32.57060220876614,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,0,-1.113851977928959,-1.113851977928959,0.0,0.0,0.0,0.0,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,1,-0.6415491680306197,-0.7839919526516149,-0.14244278462099524,0.069635758705651,-0.24931632352759703,-0.02348441471709138,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,2,0.4075717349508323,0.22968690571995243,-0.1778848292308799,0.08084531843008362,-0.304428406183116,-0.039085271149670746,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,3,1.1070755921169124,1.005312131945217,-0.10176346017169546,0.039878273318930894,-0.16613809628446796,-0.03988497335632375,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,4,1.7135108763968863,1.8414038658313259,0.1278929894344396,0.07576166653127057,-0.011105631557598868,0.24058127618217395,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,5,2.1450793513269937,2.641625484004899,0.4965461326779055,0.21456129428674173,0.12456302823197156,0.8155734656018497,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,6,2.445269020156591,3.43739091097458,0.9921218908179887,0.40124002051318436,0.3127563510345665,1.6170473131439758,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,7,2.621394951592395,4.218777240402408,1.5973822888100133,0.6299274188995428,0.5574077386519315,2.602709004046556,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,8,2.692400590001953,4.989232312388493,2.29683172238654,0.8974738162676441,0.8496365849351367,3.7670739324880462,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,9,2.671806271911243,5.7478743572629085,3.0760680853516655,1.2012362280821927,1.1726747408996643,5.063204474333405,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,10,2.572783980809705,6.495218926052403,3.9224349452426983,1.5390802481577006,1.5194601059332586,6.509581210817261,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,11,2.406516855797333,7.2313260184098995,4.824809162612567,1.9093210455344318,1.881159712065693,8.04475336834674,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,12,2.182890355396259,7.956399623524752,5.7735092681284925,2.310696483210804,2.250004362081485,9.746290356858042,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,retrenchment,Cyclical retrenchment,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,0,-1.113851977928959,-1.113851977928959,0.0,0.0,0.0,0.0,statsmodels_ardl_ar2_factor_lags_0_2,155
