origin,scenario,scenario_label,target,target_label,target_group,horizon,incremental_annual_inflation_pp,approx_standard_error,approx_lower_90,approx_upper_90
2026-06-01,sustained,Sustained pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,11,6.248502679605018,1.0415236343426209,4.535196301111407,7.961809058098629
2026-06-01,sustained,Sustained pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,12,6.423442858929463,1.1047130724422272,4.6061898547619995,8.240695863096928
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,0,1.256621672550108,0.29840407992845064,0.7657469610678067,1.7474963840324094
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,1,0.7849213536906455,0.5570394224273921,-0.13140849620241457,1.7012512035837055
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,2,0.6033684478054623,0.7278567777527374,-0.5939559515977907,1.8006928472087154
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,3,0.33982422926219974,1.0724303765496408,-1.4243237401619593,2.1039721986863587
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,4,-0.40333804827992065,1.4504150940340894,-2.789270877965998,1.9825947814061564
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,5,-1.2044848768520486,1.9317717732156354,-4.382249443791769,1.9732796900876717
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,6,-1.5217173668633452,2.3146668703677613,-5.329344368618313,2.285909634891622
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,7,-2.559909159938225,2.473563472928398,-6.62892107290544,1.5091027530289902
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,8,-3.6825149135877977,2.7146559060330313,-8.148123879012134,0.7830940518365388
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,9,-4.660757590342684,2.931237622434185,-9.482643479246919,0.1611282985615503
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,10,-5.622156531971427,3.119446109016747,-10.753645381303976,-0.49066768263887806
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,11,-5.932997937421623,3.244074183043668,-11.269499968528457,-0.5964959063147894
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,12,-7.038187293632644,3.330891636461262,-12.51750403561142,-1.5588705516538681
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,0,0.9613423560960489,0.2138360133426413,0.609582114147404,1.3131025980446938
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,1,0.5743804278633331,0.42116819701794855,-0.11844125623119228,1.2672021119578585
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,2,0.34829192286113037,0.6353222017404613,-0.6968130990019286,1.3933969447241892
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,3,0.37649661792741373,0.7504213521487418,-0.8579465063572665,1.6109397422120941
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,4,-0.47060673007067577,0.9951656947934855,-2.1076542980059596,1.1664408378646078
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,5,-0.7783253096966697,1.2572625510329138,-2.846522206145813,1.2898715867524735
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,6,-0.5342481094274201,1.49668093768632,-2.996288251921416,1.927792033066576
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,7,-1.4865756352806954,1.5776474399088278,-4.081805673930717,1.1086544033693264
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,8,-2.2273911320463227,1.7022558361370426,-5.027601982491758,0.5728197183991126
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,9,-2.8525107354988504,1.8383495365282498,-5.876595723087821,0.17157425209012045
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,10,-3.721576043606451,1.9294709898803706,-6.895555821959661,-0.5475962652532416
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,11,-4.539808402464403,1.9775354726356023,-7.792854254949969,-1.286762549978837
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,12,-5.807936422556703,2.084387425921379,-9.236753738197372,-2.3791191069160345
2026-06-01,retrenchment,Cyclical retrenchment,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,0,0.5920877591490287,0.2929852407349292,0.11012703814007013,1.0740484801579873
2026-06-01,retrenchment,Cyclical retrenchment,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,1,0.5170316944438615,0.5291378040626206,-0.3533999932391493,1.3874633821268723
2026-06-01,retrenchment,Cyclical retrenchment,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,2,0.8774445800617946,0.8233292412218597,-0.4769320217481646,2.2318211818717537
2026-06-01,retrenchment,Cyclical retrenchment,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,3,0.7812899411234066,1.1510387562451245,-1.1121688128998235,2.6747486951466364
2026-06-01,retrenchment,Cyclical retrenchment,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,4,0.6709575308270654,1.4310127119614509,-1.6830583803495212,3.024973442003652
2026-06-01,retrenchment,Cyclical retrenchment,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,5,0.5054032701223581,1.7226834733614915,-2.3284110435572956,3.3392175838020117
2026-06-01,retrenchment,Cyclical retrenchment,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,6,-0.03631579105624322,1.8395450244540414,-3.0623673562831413,2.9897357741706547
