target,impulse,period,n,cumulative_effect,standard_error,z,p_value,r_squared
cpi_L7GQ_12m_pct,uk_ipi_c261_noneu_12m_pct,from_2023,42,-2.0560837827104734,1.9497692090246066,-1.0545267476754605,0.29164182126326393,0.4024722978892631
cpi_L7GQ_12m_pct,uk_ipi_c262_12m_pct,full,115,0.12907655316967362,0.18507121679797775,0.6974426137294626,0.4855258409481404,0.6482463073287335
cpi_L7GQ_12m_pct,uk_ipi_c262_12m_pct,from_2023,33,,,,,
cpi_L7GQ_12m_pct,uk_ipi_c262_noneu_12m_pct,full,115,0.01203516219934403,0.09011940779124214,0.13354684073405124,0.8937609224486456,0.6552924087124924
cpi_L7GQ_12m_pct,uk_ipi_c262_noneu_12m_pct,from_2023,33,,,,,
cpi_L7GR_12m_pct,uk_ipi_c26_12m_pct,full,124,-0.18712272391078016,0.12904162665536317,-1.4500958238114634,0.14703179953903472,0.421739554665821
cpi_L7GR_12m_pct,uk_ipi_c26_12m_pct,from_2023,42,-0.10110255129043154,0.31147657661488576,-0.32459118560120886,0.7454904991925161,0.6691457259068623
cpi_L7GR_12m_pct,uk_ipi_c26_noneu_12m_pct,full,124,-0.11749460024101413,0.06350896822794577,-1.8500473794394463,0.06430672110379988,0.41889366978812104
cpi_L7GR_12m_pct,uk_ipi_c26_noneu_12m_pct,from_2023,42,-0.14414096616826289,0.23467876082707476,-0.6142054170572109,0.5390795941786348,0.6743739528555119
cpi_L7GR_12m_pct,uk_ipi_c261_12m_pct,full,124,0.2216313039799923,0.18648371146137327,1.1884754021849206,0.23464616517143494,0.4195930556196892
cpi_L7GR_12m_pct,uk_ipi_c261_12m_pct,from_2023,42,-0.0740033175035319,0.6863163519324792,-0.10782683130768893,0.9141330586661375,0.6646473061723907
cpi_L7GR_12m_pct,uk_ipi_c261_noneu_12m_pct,full,124,0.10387359007973719,0.09588024331912678,1.083368027488264,0.2786451012424828,0.40329867436450195
cpi_L7GR_12m_pct,uk_ipi_c261_noneu_12m_pct,from_2023,42,-0.5755852210395881,0.6912437147838205,-0.832680585341158,0.40502489683807713,0.6567438489997457
cpi_L7GR_12m_pct,uk_ipi_c262_12m_pct,full,115,-0.3144605115791052,0.24422360277334446,-1.287592632358901,0.1978878053646923,0.4315719937937117
cpi_L7GR_12m_pct,uk_ipi_c262_12m_pct,from_2023,33,,,,,
cpi_L7GR_12m_pct,uk_ipi_c262_noneu_12m_pct,full,115,-0.18685175834347634,0.06872240279044806,-2.718935176251542,0.006549244178523222,0.41327325828707684
cpi_L7GR_12m_pct,uk_ipi_c262_noneu_12m_pct,from_2023,33,,,,,
cpi_D7EO_12m_pct,uk_ipi_c26_12m_pct,full,193,0.05441921798977792,0.04535829277163703,1.1997633655164106,0.23023125572581882,0.8902550599433322
cpi_D7EO_12m_pct,uk_ipi_c26_12m_pct,from_2023,42,0.3020082208812048,0.2134994182814038,1.4145622658472146,0.15719687898448517,0.13769665482802695
cpi_D7EO_12m_pct,uk_ipi_c26_noneu_12m_pct,full,199,0.010406007879269735,0.02941180162207372,0.3538038238181223,0.7234859076280775,0.8928895067817983
cpi_D7EO_12m_pct,uk_ipi_c26_noneu_12m_pct,from_2023,42,0.5052634133747126,0.21100566931105055,2.3945489949366565,0.016640820016674253,0.207726105272253
cpi_D7EO_12m_pct,uk_ipi_c261_12m_pct,full,193,0.1912710833526181,0.04684036957639384,4.08346657130163,4.4368814356685906e-05,0.8936010080744212
cpi_D7EO_12m_pct,uk_ipi_c261_12m_pct,from_2023,42,0.8481657102332233,0.4224720049137373,2.007625831696011,0.044683067442929054,0.18905264270331434
cpi_D7EO_12m_pct,uk_ipi_c261_noneu_12m_pct,full,193,-0.024828402840938513,0.07530125209442631,-0.3297209827242205,0.7416107976533299,0.8915156276639273
cpi_D7EO_12m_pct,uk_ipi_c261_noneu_12m_pct,from_2023,42,-0.08316429563532245,1.2163973848483862,-0.06836934760895444,0.9454916217819321,0.22848860488528422
cpi_D7EO_12m_pct,uk_ipi_c262_12m_pct,full,184,-0.01070482350708958,0.025765101157797066,-0.4154776432480675,0.6777922781378718,0.8973432608583175
cpi_D7EO_12m_pct,uk_ipi_c262_12m_pct,from_2023,33,,,,,
cpi_D7EO_12m_pct,uk_ipi_c262_noneu_12m_pct,full,184,-0.008151865581306844,0.021738517392530004,-0.3749963916172161,0.7076631502474058,0.8995124010464478
cpi_D7EO_12m_pct,uk_ipi_c262_noneu_12m_pct,from_2023,33,,,,,
cpi_L7GT_12m_pct,uk_ipi_c26_12m_pct,full,124,-0.099209637367031,0.09265530939950052,-1.0707388277046304,0.28428687912903833,0.49772894294461023
cpi_L7GT_12m_pct,uk_ipi_c26_12m_pct,from_2023,42,-0.0987163586538976,0.33031531638500194,-0.2988549236355661,0.7650507418173821,0.4783677773971792
